,age,duree_paiement,taux,duree_rente,type_prime,produit
185,41,9,0.03143316848845687,3,MENSUEL,NSIA-ETUDES
186,42,9,0.031673156817368674,3,MENSUEL,NSIA-ETUDES
187,43,9,0.031920431181449584,3,MENSUEL,NSIA-ETUDES
188,44,9,0.03217152548866395,3,MENSUEL,NSIA-ETUDES
189,45,9,0.03242474202702126,3,MENSUEL,NSIA-ETUDES
190,46,9,0.032677927575403054,3,MENSUEL,NSIA-ETUDES
191,47,9,0.0329330131515449,3,MENSUEL,NSIA-ETUDES
192,48,9,0.03319412303892539,3,MENSUEL,NSIA-ETUDES
193,49,9,0.03346635377239476,3,MENSUEL,NSIA-ETUDES
194,50,9,0.03375616244832982,3,MENSUEL,NSIA-ETUDES
195,51,9,0.03407237760176326,3,MENSUEL,NSIA-ETUDES
196,52,9,0.034421041745045365,3,MENSUEL,NSIA-ETUDES
197,53,9,0.034810837693144865,3,MENSUEL,NSIA-ETUDES
198,54,9,0.035253594095127544,3,MENSUEL,NSIA-ETUDES
199,55,9,0.03575974137703612,3,MENSUEL,NSIA-ETUDES
200,56,9,0.036344678953661703,3,MENSUEL,NSIA-ETUDES
201,57,9,0.037026683814251775,3,MENSUEL,NSIA-ETUDES
202,58,9,0.037794157226537166,3,MENSUEL,NSIA-ETUDES
203,59,9,0.038647852420128546,3,MENSUEL,NSIA-ETUDES
204,60,9,0.039566740485910176,3,MENSUEL,NSIA-ETUDES
205,20,10,0.026270286796728128,3,MENSUEL,NSIA-ETUDES
206,21,10,0.026297910582152466,3,MENSUEL,NSIA-ETUDES
207,22,10,0.02632340036481587,3,MENSUEL,NSIA-ETUDES
208,23,10,0.026350413261793364,3,MENSUEL,NSIA-ETUDES
209,24,10,0.026380627885800225,3,MENSUEL,NSIA-ETUDES
210,25,10,0.026414298987062337,3,MENSUEL,NSIA-ETUDES
211,26,10,0.026452722567829354,3,MENSUEL,NSIA-ETUDES
212,27,10,0.026495360603906778,3,MENSUEL,NSIA-ETUDES
213,28,10,0.026543540843365562,3,MENSUEL,NSIA-ETUDES
214,29,10,0.026599474925685023,3,MENSUEL,NSIA-ETUDES
215,30,10,0.02666468785434229,3,MENSUEL,NSIA-ETUDES
216,31,10,0.02674280378792424,3,MENSUEL,NSIA-ETUDES
217,32,10,0.02683821663137117,3,MENSUEL,NSIA-ETUDES
218,33,10,0.02695065129949085,3,MENSUEL,NSIA-ETUDES
219,34,10,0.027079807885610117,3,MENSUEL,NSIA-ETUDES
220,35,10,0.027223604574724045,3,MENSUEL,NSIA-ETUDES
221,36,10,0.027386018927110952,3,MENSUEL,NSIA-ETUDES
222,37,10,0.02756691122772734,3,MENSUEL,NSIA-ETUDES
223,38,10,0.02776855635402719,3,MENSUEL,NSIA-ETUDES
224,39,10,0.027990280343538385,3,MENSUEL,NSIA-ETUDES
225,40,10,0.028229698824305847,3,MENSUEL,NSIA-ETUDES
226,41,10,0.028483625722600995,3,MENSUEL,NSIA-ETUDES
227,42,10,0.028745196901294436,3,MENSUEL,NSIA-ETUDES
228,43,10,0.029014452156170628,3,MENSUEL,NSIA-ETUDES
229,44,10,0.029288182513279064,3,MENSUEL,NSIA-ETUDES
230,45,10,0.029564960074681762,3,MENSUEL,NSIA-ETUDES
231,46,10,0.029842924650969178,3,MENSUEL,NSIA-ETUDES
232,47,10,0.03012407996755436,3,MENSUEL,NSIA-ETUDES
233,48,10,0.030413487260181945,3,MENSUEL,NSIA-ETUDES
234,49,10,0.03071804007428538,3,MENSUEL,NSIA-ETUDES
235,50,10,0.03104558253456706,3,MENSUEL,NSIA-ETUDES
236,51,10,0.031406017879215195,3,MENSUEL,NSIA-ETUDES
237,52,10,0.031805721571991574,3,MENSUEL,NSIA-ETUDES
238,53,10,0.032254226224316576,3,MENSUEL,NSIA-ETUDES
239,54,10,0.03276256038562299,3,MENSUEL,NSIA-ETUDES
240,55,10,0.033341303333749094,3,MENSUEL,NSIA-ETUDES
241,56,10,0.03400647829988094,3,MENSUEL,NSIA-ETUDES
242,57,10,0.03477545558040051,3,MENSUEL,NSIA-ETUDES
243,58,10,0.035635482965009235,3,MENSUEL,NSIA-ETUDES
244,59,10,0.036585564953594205,3,MENSUEL,NSIA-ETUDES
245,60,10,0.037605539668753275,3,MENSUEL,NSIA-ETUDES
246,20,11,0.02368014429094972,3,MENSUEL,NSIA-ETUDES
247,21,11,0.02371023730596161,3,MENSUEL,NSIA-ETUDES
248,22,11,0.023738383148872763,3,MENSUEL,NSIA-ETUDES
249,23,11,0.023768495100052245,3,MENSUEL,NSIA-ETUDES
250,24,11,0.02380253391518071,3,MENSUEL,NSIA-ETUDES
251,25,11,0.02384091563614446,3,MENSUEL,NSIA-ETUDES
252,26,11,0.02388491875900099,3,MENSUEL,NSIA-ETUDES
253,27,11,0.023934117814211852,3,MENSUEL,NSIA-ETUDES
254,28,11,0.023989871929990334,3,MENSUEL,NSIA-ETUDES
255,29,11,0.02405454446547325,3,MENSUEL,NSIA-ETUDES
256,30,11,0.024129852525737867,3,MENSUEL,NSIA-ETUDES
257,31,11,0.024219644579468975,3,MENSUEL,NSIA-ETUDES
258,32,11,0.024328395199438493,3,MENSUEL,NSIA-ETUDES
259,33,11,0.024455731804627123,3,MENSUEL,NSIA-ETUDES
260,34,11,0.024601356114589253,3,MENSUEL,NSIA-ETUDES
261,35,11,0.02476315540570942,3,MENSUEL,NSIA-ETUDES
262,36,11,0.024944895611901236,3,MENSUEL,NSIA-ETUDES
263,37,11,0.025146068134464118,3,MENSUEL,NSIA-ETUDES
264,38,11,0.025368515172006393,3,MENSUEL,NSIA-ETUDES
265,39,11,0.025611270432589185,3,MENSUEL,NSIA-ETUDES
266,40,11,0.02587178692696722,3,MENSUEL,NSIA-ETUDES
267,41,11,0.026146920166651308,3,MENSUEL,NSIA-ETUDES
268,42,11,0.02643012254578842,3,MENSUEL,NSIA-ETUDES
269,43,11,0.026721593468139453,3,MENSUEL,NSIA-ETUDES
270,44,11,0.027018357791473293,3,MENSUEL,NSIA-ETUDES
271,45,11,0.027319215199614978,3,MENSUEL,NSIA-ETUDES
272,46,11,0.02762242039441057,3,MENSUEL,NSIA-ETUDES
273,47,11,0.027930868028484157,3,MENSUEL,NSIA-ETUDES
274,48,11,0.028251231898951356,3,MENSUEL,NSIA-ETUDES
275,49,11,0.028591685868489727,3,MENSUEL,NSIA-ETUDES
276,50,11,0.028961091819170663,3,MENSUEL,NSIA-ETUDES
277,51,11,0.029369689305739306,3,MENSUEL,NSIA-ETUDES
278,52,11,0.029824683575710532,3,MENSUEL,NSIA-ETUDES
279,53,11,0.03033503899173852,3,MENSUEL,NSIA-ETUDES
280,54,11,0.030912023897738942,3,MENSUEL,NSIA-ETUDES
281,55,11,0.03156692096780065,3,MENSUEL,NSIA-ETUDES
282,56,11,0.03231514817623817,3,MENSUEL,NSIA-ETUDES
283,57,11,0.03317279423539958,3,MENSUEL,NSIA-ETUDES
284,58,11,0.034125686834858435,3,MENSUEL,NSIA-ETUDES
285,59,11,0.035173317673922136,3,MENSUEL,NSIA-ETUDES
286,60,11,0.03629634898490953,3,MENSUEL,NSIA-ETUDES
287,20,12,0.02154356327776911,3,MENSUEL,NSIA-ETUDES
288,21,12,0.02157618288506666,3,MENSUEL,NSIA-ETUDES
